no.	gen	evalFit	result	time(ms)
1	8	52	4	2
2	9	58	4	2
3	7	46	4	2
4	9	59	4	2
5	7	46	4	1
6	8	53	4	2
7	8	52	4	2
8	8	52	4	2
9	9	60	4	3
10	8	52	4	2
11	10	64	4	2
12	9	58	4	2
13	10	65	4	3
14	9	58	4	2
15	8	53	4	2
16	9	58	4	2
17	10	64	4	2
18	9	60	4	2
19	10	64	4	3
20	8	54	4	2
21	7	47	4	2
22	9	60	4	3
23	9	58	4	2
24	10	64	4	2
25	11	72	4	2
26	8	52	4	2
27	8	52	4	2
28	9	58	4	2
29	10	64	4	3
30	8	52	4	2
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	90	7.06858	4	30	3	5	5	100	0.5	4	4	4	56	100%	2.13333
no.	gen	evalFit	result	time(ms)
1	8	53	4	2
2	7	46	4	2
3	7	46	4	2
4	8	54	4	2
5	9	58	4	3
6	8	52	4	2
7	7	46	4	2
8	9	60	4	2
9	10	64	4	2
10	9	58	4	2
11	9	58	4	2
12	8	54	4	2
13	7	47	4	2
14	9	58	4	2
15	8	52	4	2
16	10	66	4	3
17	8	52	4	2
18	10	64	4	2
19	9	58	4	2
20	9	59	4	2
21	9	58	4	2
22	9	58	4	2
23	9	58	4	2
24	8	52	4	2
25	9	58	4	3
26	7	47	4	2
27	10	64	4	3
28	7	46	4	2
29	9	59	4	3
30	8	52	4	3
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	90	7.06858	4	30	3	5	5	100	0.5	4	4	4	55	100%	2.2
no.	gen	evalFit	result	time(ms)
1	8	54	4	3
2	9	58	4	3
3	10	64	4	3
4	7	48	4	2
5	9	60	4	3
6	9	60	4	3
7	11	70	4	3
8	11	70	4	3
9	10	64	4	2
10	7	47	4	2
11	9	58	4	3
12	8	54	4	2
13	8	52	4	2
14	9	59	4	2
15	8	52	4	2
16	9	59	4	2
17	8	53	4	2
18	7	46	4	2
19	8	52	4	3
20	7	46	4	2
21	9	58	4	2
22	7	47	4	2
23	8	52	4	3
24	10	64	4	3
25	9	58	4	2
26	8	52	4	3
27	7	46	4	3
28	8	52	4	3
29	8	52	4	3
30	9	60	4	3
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	90	7.06858	4	30	3	5	5	100	0.5	4	4	4	55	100%	2.53333
no.	gen	evalFit	result	time(ms)
1	15	94	5	17
2	13	82	5	15
3	15	94	5	18
4	11	70	5	12
5	12	76	5	11
6	14	88	5	13
7	14	88	5	13
8	14	88	5	12
9	14	89	5	12
10	18	112	5	17
11	12	76	5	12
12	15	94	5	15
13	13	82	5	14
14	15	94	5	16
15	15	95	5	16
16	17	108	5	16
17	13	82	5	14
18	17	106	5	17
19	18	112	5	19
20	15	95	5	16
21	13	82	5	14
22	16	101	5	18
23	14	88	5	15
24	14	89	5	15
25	14	88	5	15
26	14	88	5	14
27	13	82	5	15
28	17	106	5	18
29	12	76	5	13
30	13	82	5	14
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	574	5.65487	5	30	3	5	5	100	0.5	5	5	5	90	100%	14.8667
no.	gen	evalFit	result	time(ms)
