37.7773 45.5763
9.10825 32.5037
20.9906 2.53914
22.7882 24.5598
35.0917 20.7801
42.41 24.807
10.6372 4.43434
43.0784 20.3513
24.0303 36.1538
16.3182 43.1867
34.5897 47.0763
16.3961 12.4775
13.9393 9.95056
37.2005 35.1604
0.480667 6.96585
15.0044 28.8919
36.7748 48.8433
27.4346 6.43178
22.6478 46.7681
33.9183 35.519
41.8363 13.7211
27.9656 13.2756
44.9721 46.7544
46.5789 19.2587
46.736 16.7852 0.926144
7.0864 36.1614 -0.828917
19.9789 17.4978 7.5491
16.7638 2.25227 -1.5269
44.6303 49.8535 0.0898397
25.4814 34.6431 6.60484
44.2015 43.8292 0.438977
16.7592 37.3806 5.5728
17.6992 43.9299 7.84877
7.50755 33.4956 -2.00859
49.7696 10.0131 0.0548163
1.76092 35.023 -0.360677
6.86361 10.033 0.34286
18.7429 40.0861 10.7045
2.26752 6.21357 0.053316
40.5484 21.073 5.36816
37.7728 11.2659 -1.7361
49.7726 43.0174 0.056708
4.83718 16.1733 -0.387604
2.39265 26.1879 -1.21025
3.01981 16.1275 -0.295708
6.2212 42.0057 0.261211
8.52229 36.169 -0.883514
0.225838 6.30055 0.0243497
0.628681 33.0927 -0.366102
5.05387 9.01517 0.181244
28.8797 25.2007 0.352859
40.054 44.377 1.47726
28.7729 26.426 0.178188
27.1081 30.6391 0.646996
18.8208 36.4406 6.92167
26.6137 33.4223 3.93167
36.7565 13.2572 -1.02088
25.8797 31.7347 1.83466
47.7233 29.9295 1.02083
25.2968 40.7392 16.2051
32.2382 41.8958 9.54901
42.5672 30.3049 3.53994
36.7702 16.5166 2.37513
30.311 3.43791 -6.45974
44.7096 1.40538 -0.0851569
27.3644 23.6305 0.937343
0.567644 33.0622 -0.360097
39.0881 5.19272 -1.4677
45.2223 12.4256 0.423683
16.9866 5.65203 -2.56723
44.9843 48.8739 0.10505
32.9569 34.2479 4.61314
22.3594 49.237 4.38669
18.4759 15.6087 5.9162
21.2531 3.40892 -5.13186
14.0522 22.6768 -1.84693
14.4719 43.086 4.61375
49.2294 17.9144 0.4946
36.3292 25.2205 6.80911
48.4787 16.8905 0.549401
48.146 16.7501 0.598891
33.2835 13.2893 -4.51254
19.4861 32.1467 1.70609
15.7231 29.3985 -2.97083
32.9295 0.366222 -2.21533
3.87127 31.1533 -1.35758
45.175 12.7598 0.487104
14.33 21.8055 -0.64461
12.3188 28.4951 -5.31079
12.1967 3.24412 -0.207241
12.1113 39.0652 1.92059
23.7983 19.0832 5.58358
20.9754 18.4393 7.74189
42.4757 18.5156 3.15887
28.6447 10.4328 -12.0894
22.7577 5.06912 -8.06089
48.204 29.8227 0.882052
33.227 9.25626 -7.84105
4.34584 28.8141 -1.9193
13.3808 49.2309 1.20135
7.68151 5.39872 0.165416
4.81582 18.4805 -0.941428
47.8698 5.16678 -0.0199684
2.04169 14.6596 -0.117904
13.4342 43.1349 3.58549
43.234 48.5626 0.218687
21.0425 47.1633 6.73035
36.2377 47.354 2.17957
12.0624 49.5163 0.797316
40.144 41.1084 2.11233
49.2309 28.1259 0.708929
47.7447 46.6979 0.0607468
21.2165 24.131 4.66142
39.1705 38.1054 3.09894
37.9269 37.2372 3.9092
2.04169 17.2399 -0.352554
24.3233 25.4845 2.53069
38.4335 24.2897 7.10689
45.613 10.9668 0.197745
3.96588 1.69378 0.0364606
21.5674 18.067 7.30807
49.3423 0.788904 -0.00615329
12.8529 45.7808 2.26695
9.63164 45.1949 0.96659
37.112 0.677511 -1.0316
11.6306 40.0006 1.94146
47.6562 42.0804 0.164073
44.5921 40.8093 0.60145
32.5755 15.9963 -1.34839
14.6504 21.7215 -0.153481
17.0614 29.4 -1.55963
28.2525 6.29292 -11.3184
26.7647 41.3968 15.5843
24.9046 0.54323 -3.66262
45.0056 22.8477 2.71341
4.53963 42.0972 0.106041
21.6422 11.0218 -5.27451
19.8431 4.47096 -4.78296
16.4144 10.8112 0.38136
28.811 20.6275 0.921546
34.5622 19.1092 3.47186
27.8954 14.8106 -4.5876
37.5591 23.8899 7.09426
11.0172 6.75375 0.175066
36.7382 4.55031 -2.63178
24.7673 27.308 1.48077
2.65358 35.0993 -0.465005
15.1219 9.56297 0.0184283
47.9766 16.7196 0.629226
35.9691 44.5219 3.913
16.7165 41.3129 7.85463
14.7618 15.3737 3.89847
37.6461 12.5385 -0.976753
45.616 49.4644 0.068883
24.6559 25.9575 2.06566
5.16068 1.9837 0.0509568
31.9163 34.8018 5.21111
11.4597 10.477 0.967479
46.6353 2.96182 -0.0432896
21.2989 34.1929 5.3395
27.221 21.7429 1.55769
36.1827 17.3742 2.95831
19.6692 41.9462 11.8761
12.3173 40.5438 2.61362
9.98871 47.8561 0.670951
44.9309 48.8144 0.109073
45.4741 24.6727 2.50755
22.1915 21.3416 6.52869
32.6289 45.97 5.61827
19.1061 20.9357 6.35554
44.5738 32.7357 1.76533
26.6366 37.9116 13.1086
45.7411 10.5594 0.151969
36.4101 17.246 2.94419
16.6463 16.5151 5.68445
26.2825 33.0973 3.48419
36.6039 32.3283 4.69047
17.1224 49.7482 2.1765
7.12912 45.3627 0.38516
46.0768 33.0302 1.14895
23.9036 14.0141 -2.10812
26.6533 1.32145 -4.6964
30.0699 39.053 11.83
40.9528 30.1294 4.57296
8.6993 17.4764 -0.644254
34.3181 49.3683 1.91563
47.2259 30.4743 1.1283
7.75018 47.3632 0.351304
31.6599 42.0011 10.2437
28.3898 20.6732 1.04325
3.41502 9.58129 0.100343
3.36924 33.755 -0.775361
36.5322 33.8786 4.46164
37.376 27.5613 6.69261
18.1265 48.5839 3.48556
19.1885 41.1405 11.4759
39.877 27.221 6.2709
7.56706 35.2626 -1.23731
33.3583 8.39106 -7.65258
11.7328 32.1802 -3.56842
7.03452 16.0405 -0.297485
36.8236 10.5518 -2.94967
17.7282 26.3146 0.162933
39.5795 19.6112 5.05313
34.3654 7.55638 -6.15203
14.6092 1.63274 -0.619779
26.8273 35.0063 6.98377
6.52791 36.7626 -0.594515
37.7102 6.77511 -2.583
18.2897 49.2691 2.96446
19.808 12.656 0.351517
11.0172 39.2987 1.3041
47.1297 32.3115 0.931147
15.6621 29.1635 -3.06218
32.255 14.4398 -3.90379
1.77923 38.2473 -0.124235
7.87225 13.448 0.405207
23.751 25.5974 2.88336
5.26749 35.2107 -0.869216
39.7626 14.2399 1.20476
37.611 18.4683 4.42347
23.8426 36.3094 10.3582
20.8289 3.44401 -4.83921
16.2893 13.0299 2.88164
39.906 14.2186 1.21137
32.7799 8.62911 -8.45855
43.3912 6.43941 -0.281623
27.4804 22.2449 1.26099
23.9448 6.93381 -10.7577
30.4926 6.86361 -10.3246
17.7389 46.7605 5.03327
4.9028 29.397 -2.11508
30.5094 14.3025 -5.42909
43.7956 10.9195 0.173563
23.0873 29.9265 1.79622
2.49947 11.1408 0.0479012
14.2079 18.7918 2.1991
36.4238 46.1989 2.67149
33.4315 33.3659 4.1036
39.7458 3.78124 -0.96683
31.9498 2.21259 -4.13244
5.31785 44.7218 0.192309
34.1487 6.60878 -6.00855
1.05899 5.02945 0.0288338
37.6705 11.5497 -1.64813
33.1721 37.5179 7.39735
44.8531 2.72836 -0.103903
41.4792 7.0101 -0.676409
33.3094 6.01825 -6.5809
47.2137 28.251 1.37307
48.4939 41.0428 0.14137
48.5595 10.5243 0.094822
26.0384 35.3938 8.09049
34.2479 48.1094 2.71146
26.7067 1.05289 -4.37333
10.5487 20.5542 -2.31992
41.7356 49.5834 0.271516
11.9449 41.9294 2.47709
1.41759 47.647 0.0213759
40.8048 23.0171 5.83139
44.7142 39.4345 0.691645
6.37989 35.5892 -0.944358
32.6991 37.5332 7.80352
8.43989 42.7793 0.741359
13.6952 8.82137 0.176199
35.8242 34.6339 4.60966
22.8538 6.94906 -9.62921
25.2632 32.9112 3.48599
24.0379 27.9565 1.70734
0.775169 4.1612 0.0223849
26.7907 40.6003 15.6519
38.9203 45.1949 1.7567
36.2178 17.9571 3.53178
30.2591 29.9524 0.940913
18.6041 21.8497 5.05584
32.3176 31.8827 2.93026
40.5469 16.6723 2.87591
34.3593 10.857 -5.65545
14.4444 14.1728 3.27771
29.2886 28.7057 0.250204
8.15302 25.7546 -4.37714
13.007 32.4259 -3.11306
1.60375 23.8517 -0.893452
6.50349 19.129 -1.44813
48.2131 38.9706 0.22552
21.0288 21.7917 6.51312
23.8807 43.9131 13.3765
11.6352 29.8639 -4.93422
21.4164 1.78228 -3.71149
39.4238 33.8054 3.73282
23.1681 29.3298 1.77492
37.7743 7.61589 -2.62357
9.70183 2.16376 0.0274789
2.90841 18.4118 -0.611972
37.3196 3.46232 -1.87729
4.08338 27.1096 -1.93611
42.2361 42.6664 0.994304
33.7092 19.2938 2.91986
4.2375 45.7656 0.108297
42.7335 30.3278 3.4298
27.6254 43.7437 12.8517
31.5928 3.74615 -5.98345
22.2373 10.7105 -6.7126
42.0408 47.0336 0.482871
42.41 28.3212 4.29126
20.1636 23.8105 4.55318
16.6356 28.0068 -1.91931
45.9029 46.5194 0.135397
25.779 37.6217 12.9149
49.3988 8.65505 0.0301249
12.6133 34.0281 -1.83618
9.44853 20.6183 -2.55105
30.5521 28.222 0.993941
4.43281 38.2214 -0.211574
14.3117 34.5164 -0.403375
10.9622 47.9629 0.877283
30.4041 0.389111 -3.04375
20.6137 48.085 5.24487
40.1837 48.5275 0.592247
20.0385 39.491 12.2182
33.3415 7.64031 -7.47228
4.76546 15.6056 -0.276865
14.5955 33.6177 -1.16369
22.0023 15.2028 3.17346
1.43132 47.5661 0.0218248
12.7522 27.3049 -5.27719
15.6835 42.3063 6.26549
48.5717 12.1738 0.17592
26.7769 33.9 4.74847
33.2514 27.4987 3.80246
29.4458 9.74914 -12.0782
14.771 23.8044 -2.02289
13.7379 49.8413 1.09783
27.8008 48.1765 5.74337
10.1047 22.7027 -3.97088
12.096 20.3345 -1.34137
17.4184 32.6243 0.300385
27.0821 20.1407 1.86246
46.6994 19.7104 1.3874
7.92871 0.596638 0.0431824
38.3847 39.3353 3.49561
33.4651 15.3859 -1.41987
35.9432 22.5455 6.21068
1.19633 25.0313 -0.813934
23.6473 43.9894 13.1848
29.7937 20.7327 0.932196
11.3208 48.9166 0.767099
34.2967 29.9356 4.2739
23.8807 15.8406 1.95083
44.4258 42.7076 0.486391
28.4478 6.3982 -11.3523
11.2445 22.9728 -4.033
6.90634 28.9682 -3.33674
22.5227 43.6796 13.079
